id,texto,fecha,usuario
1,apurimac24,2025-04-16,usuario_x
2,·,2025-04-16,usuario_x
3,"atorrante adefecio ,tu eres de la misma calaña que el cerdo alcoholico sicopata  , gentuza que denigra que sangra al pais  ustedes delincuentes se aprovechan del poder y mantener el caos  por que les conviene, pero todo cambiara pronto",2025-04-16,usuario_x
4,·,2025-04-16,usuario_x
5,Una razón más para que no pase López Aliaga!,2025-04-16,usuario_x
6,·,2025-04-16,usuario_x
7,Fueera 🤡,2025-04-16,usuario_x
8,♓,2025-04-16,usuario_x
9,·,2025-04-16,usuario_x
10,CALLA PAJERASO!!!,2025-04-16,usuario_x
11,·,2025-04-16,usuario_x
12,Desencuentros son las mujeres que contratste tan amablemente,2025-04-16,usuario_x
13,zkorpyonzgreen,2025-04-16,usuario_x
14,·,2025-04-16,usuario_x
15,Entre los dos primeros nisiqiera suman 40%,2025-04-16,usuario_x
16,RG Trelles Cruz 🚶🐱,2025-04-16,usuario_x
17,·,2025-04-16,usuario_x
18,"Gracias por decirlo; el violador que fue presidente títere de la korrupción, si con esto no se dan cuenta los que piden votar por la kk, definitivamente están igual de enfermos que este violador degenerado",2025-04-16,usuario_x
19,tintamitu,2025-04-16,usuario_x
20,·,2025-04-16,usuario_x
21,Chupala pajeri,2025-04-16,usuario_x
22,Acuario ♒,2025-04-16,usuario_x
23,·,2025-04-16,usuario_x
24,Te prometió ponerte un ministerio ?,2025-04-16,usuario_x
25,Libertario,2025-04-16,usuario_x
26,·,2025-04-16,usuario_x
27,Calla pajero de Mier…,2025-04-16,usuario_x
28,Sanjina antifujimorista 🇵🇪,2025-04-16,usuario_x
29,·,2025-04-16,usuario_x
30,Desde cuándo los pajeros pueden ser políticos?? Que ascoo,2025-04-16,usuario_x
31,waldir,2025-04-16,usuario_x
32,·,2025-04-16,usuario_x
33,Fuera CTM... Tu y tu partido de mierda están muertos...,2025-04-16,usuario_x
34,Juani,2025-04-16,usuario_x
35,·,2025-04-16,usuario_x
36,No necesitamos su comentario hipócrita.,2025-04-16,usuario_x
37,AD,2025-04-16,usuario_x
38,·,2025-04-16,usuario_x
39,Bien muestra madurez política y no es revanchista con RLA después de lo q le hizo,2025-04-16,usuario_x
40,AcaroDeCerdo,2025-04-16,usuario_x
41,·,2025-04-16,usuario_x
42,"Tenías solo un solo trabajo y era resistir, y por jer0pa te vacaron... una vergüenza para el Perú",2025-04-16,usuario_x
43,XVProxy,2025-04-16,usuario_x
44,·,2025-04-16,usuario_x
45,"Lo dice el tipo que no supo mantener la cordura por unos meses y acabó siendo un sirviente inútil del congreso más desprestigiado de la historia del Perú. No llegó ni a presidente zoocrático, un niño gordo que se creyó guapo y acabó borrándose de nuestros libros.",2025-04-16,usuario_x
46,javiersoria,2025-04-16,usuario_x
47,·,2025-04-16,usuario_x
48,"Calla mierda, sigue en tu hueco",2025-04-16,usuario_x
49,·,2025-04-16,usuario_x
50,"Pensando en el país, espero que termines en la cárcel, por estar favoreciendo a tus amigas ruflas. Pa la próxima, cacha con tu plata, no con la del Estado.",2025-04-16,usuario_x
51,Jeannette,2025-04-16,usuario_x
52,·,2025-04-16,usuario_x
53,"La fregaste, debiste haber hecho las cosas bien y las elecciones quedaban bien, sin cochinadas.",2025-04-16,usuario_x
54,·,2025-04-16,usuario_x
55,Calla ctm,2025-04-16,usuario_x
56,·,2025-04-16,usuario_x
57,Calla jeropa!,2025-04-16,usuario_x
58,Luis2023,2025-04-16,usuario_x
59,·,2025-04-16,usuario_x
60,"CUANDO PU... PIENSAS EN EL PAÍS, PARTE DE LA KORRUPCION.",2025-04-16,usuario_x
61,𝖱𝗈𝗆𝗒 ✨,2025-04-16,usuario_x
62,·,2025-04-16,usuario_x
63,REPRESENTACIÓN DICE JAJAJAJAJAJAJAJAJA,2025-04-16,usuario_x
64,Tomahowk,2025-04-16,usuario_x
65,·,2025-04-16,usuario_x
66,Pajero de mierda,2025-04-16,usuario_x
67,José Romero,2025-04-16,usuario_x
68,·,2025-04-16,usuario_x
69,"y cuándo te veremos preso, con el mismo deseo que te inhabiliten de modo eterno para que no ejerzas ningún cargo público.",2025-04-16,usuario_x
