id,usuario,fecha,texto,texto_limpio,categoria,puntuacion
3,usuario_x,2025-04-16,"atorrante adefecio ,tu eres de la misma calaña que el cerdo alcoholico sicopata  , gentuza que denigra que sangra al pais  ustedes delincuentes se aprovechan del poder y mantener el caos  por que les conviene, pero todo cambiara pronto",atorrante adefecio tu eres de la misma calaña que el cerdo alcoholico sicopata gentuza que denigra que sangra al pais ustedes delincuentes se aprovechan del poder y mantener el caos por que les conviene pero todo cambiara pronto,muy negativo,-3.9474
10,usuario_x,2025-04-16,CALLA PAJERASO!!!,calla pajeraso,muy negativo,-25.0
18,usuario_x,2025-04-16,"Gracias por decirlo; el violador que fue presidente títere de la korrupción, si con esto no se dan cuenta los que piden votar por la kk, definitivamente están igual de enfermos que este violador degenerado",gracias por decirlo el violador que fue presidente títere de la korrupción si con esto no se dan cuenta los que piden votar por la kk definitivamente están igual de enfermos que este violador degenerado,negativo,-1.7143
21,usuario_x,2025-04-16,Chupala pajeri,chupala pajeri,muy negativo,-15.0
27,usuario_x,2025-04-16,Calla pajero de Mier…,calla pajero de mier,muy negativo,-12.5
33,usuario_x,2025-04-16,Fuera CTM... Tu y tu partido de mierda están muertos...,fuera ctm tu y tu partido de mierda están muertos,muy negativo,-8.0
36,usuario_x,2025-04-16,No necesitamos su comentario hipócrita.,no necesitamos su comentario hipócrita,muy negativo,-4.0
42,usuario_x,2025-04-16,"Tenías solo un solo trabajo y era resistir, y por jer0pa te vacaron... una vergüenza para el Perú",tenías solo un solo trabajo y era resistir y por jer0pa te vacaron una vergüenza para el perú,negativo,-1.1111
45,usuario_x,2025-04-16,"Lo dice el tipo que no supo mantener la cordura por unos meses y acabó siendo un sirviente inútil del congreso más desprestigiado de la historia del Perú. No llegó ni a presidente zoocrático, un niño gordo que se creyó guapo y acabó borrándose de nuestros libros.",lo dice el tipo que no supo mantener la cordura por unos meses y acabó siendo un sirviente inútil del congreso más desprestigiado de la historia del perú no llegó ni a presidente zoocrático un niño gordo que se creyó guapo y acabó borrándose de nuestros libros,negativo,-0.4255
48,usuario_x,2025-04-16,"Calla mierda, sigue en tu hueco",calla mierda sigue en tu hueco,muy negativo,-8.3333
50,usuario_x,2025-04-16,"Pensando en el país, espero que termines en la cárcel, por estar favoreciendo a tus amigas ruflas. Pa la próxima, cacha con tu plata, no con la del Estado.",pensando en el país espero que termines en la cárcel por estar favoreciendo a tus amigas ruflas pa la próxima cacha con tu plata no con la del estado,negativo,-1.7241
55,usuario_x,2025-04-16,Calla ctm,calla ctm,muy negativo,-25.0
57,usuario_x,2025-04-16,Calla jeropa!,calla jeropa,muy negativo,-10.0
66,usuario_x,2025-04-16,Pajero de mierda,pajero de mierda,muy negativo,-20.0
69,usuario_x,2025-04-16,"y cuándo te veremos preso, con el mismo deseo que te inhabiliten de modo eterno para que no ejerzas ningún cargo público.",y cuándo te veremos preso con el mismo deseo que te inhabiliten de modo eterno para que no ejerzas ningún cargo público,negativo,-0.9091
