id,texto,fecha,usuario
1,"2,04478E+18 José Jerí Pensando en el país, más allá de los desencuentros y no estar de acuerdo en varias posturas, espero que pase a segunda vuelta . La segunda vuelta, con los dos candidatos, debe ser la representación de un país que no puede esperar más para lograr un desarrollo 16/04/2026 8:56 1849 358 779 5921 166 218183 Ex Presidente Constitucional de la República del Perú. FALSO 04/08/2010 1:25 Lima, Peru 50416 1359 11251 843 13679 FALSO VERDADERO",2026-06-17,
2,"2,04479E+18 R. M. Quieres eso por qué sino te vas preso, títere HDP!!!! 16/04/2026 9:36 5 0 22 1151 1 12886 ???? Crema Toda la Vida. ?? VERDADERO 21/02/2023 13:31 64 414 191 850 10987 FALSO FALSO",2026-06-17,
3,"2,04479E+18 Jose Delgado???????? Lo he criticado por su comportamiento y por seguir como si nada hubiese pasado, pero admito, sospecho, presumo, se me hace, que UD no hubiese permitido este fraude descarado. 16/04/2026 9:58 15 1 10 289 0 2571 ""Divertido, lector, creo en la democracia.",2026-06-17,
4,"Outgoing, funny, reader, defend democracy."" FALSO 17/09/2020 20:26 37556 1890 107603 4091 46724 FALSO VERDADERO",2026-06-17,
5,"2,04485E+18 Cliptomano Calla gampi de vidrio. 16/04/2026 13:44 0 0 0 103 0 1658 Clips para bajar pepa VERDADERO 12/08/2014 18:43 Lima, Peru 79496 3992 35544 8267 37600 FALSO VERDADERO",2026-06-17,
6,"2,04479E+18 Adrian Luis Celedonio Alguien está asustado que no lo investiguen porque terminará al lado de Castillo. La justicia tarda pero llega pajero. 16/04/2026 9:30 0 0 0 303 0 3704 ""Arquitecto",2026-06-17,
7,"??"" FALSO 13/05/2016 21:02 Lima, Peru 32 45 14915 306 2478 FALSO FALSO",2026-06-17,
8,"2,04479E+18 Manquis JAJAJAJJAA, cállate impresentable 16/04/2026 9:45 0 0 3 267 1 5185 Cusqueña, MSc. estudios socio ambientales | Ecología política del agua y la conservación | sentir-pensar VERDADERO 08/09/2009 13:20 Lima, Peru 2277 1065 39544 1394 18977 FALSO FALSO",2026-06-17,
9,"2,04479E+18 MESIAS "" Pensando en el país no se convierte a palacio de gobierno en prosticlub.",2026-06-17,
10,"Además Porky sólo da la talla para blindador de pederastas, violadores y corruptos; para presidente no. 16/04/2026 9:52 3 2 38 189 6 3477 ""Que culpa tengo yo de tener la sangre roja, el corazón a la izquierda y que el karma siempre ponga la basura en su lugar.",2026-06-17,
11,"Sporting Cristal ??"" FALSO 15/09/2024 11:00 CAJAMARCA-PERÚ 608 1117 58927 347 2655 FALSO FALSO",2026-06-17,
