id,usuario,fecha,texto,texto_limpio,categoria,puntuacion
2,,2026-06-17,"2,04479E+18 R. M. Quieres eso por qué sino te vas preso, títere HDP!!!! 16/04/2026 9:36 5 0 22 1151 1 12886 ???? Crema Toda la Vida. ?? VERDADERO 21/02/2023 13:31 64 414 191 850 10987 FALSO FALSO",2 04479e 18 r m quieres eso por qué sino te vas preso títere hdp 16 04 2026 9 36 5 0 22 1151 1 12886 crema toda la vida verdadero 21 02 2023 13 31 64 414 191 850 10987 falso falso,negativo,-1.1628
3,,2026-06-17,"2,04479E+18 Jose Delgado???????? Lo he criticado por su comportamiento y por seguir como si nada hubiese pasado, pero admito, sospecho, presumo, se me hace, que UD no hubiese permitido este fraude descarado. 16/04/2026 9:58 15 1 10 289 0 2571 ""Divertido, lector, creo en la democracia.",2 04479e 18 jose delgado lo he criticado por su comportamiento y por seguir como si nada hubiese pasado pero admito sospecho presumo se me hace que ud no hubiese permitido este fraude descarado 16 04 2026 9 58 15 1 10 289 0 2571 divertido lector creo en la democracia,negativo,-0.5882
5,,2026-06-17,"2,04485E+18 Cliptomano Calla gampi de vidrio. 16/04/2026 13:44 0 0 0 103 0 1658 Clips para bajar pepa VERDADERO 12/08/2014 18:43 Lima, Peru 79496 3992 35544 8267 37600 FALSO VERDADERO",2 04485e 18 cliptomano calla gampi de vidrio 16 04 2026 13 44 0 0 0 103 0 1658 clips para bajar pepa verdadero 12 08 2014 18 43 lima peru 79496 3992 35544 8267 37600 falso verdadero,negativo,-0.5263
6,,2026-06-17,"2,04479E+18 Adrian Luis Celedonio Alguien está asustado que no lo investiguen porque terminará al lado de Castillo. La justicia tarda pero llega pajero. 16/04/2026 9:30 0 0 0 303 0 3704 ""Arquitecto",2 04479e 18 adrian luis celedonio alguien está asustado que no lo investiguen porque terminará al lado de castillo la justicia tarda pero llega pajero 16 04 2026 9 30 0 0 0 303 0 3704 arquitecto,negativo,-0.8108
8,,2026-06-17,"2,04479E+18 Manquis JAJAJAJJAA, cállate impresentable 16/04/2026 9:45 0 0 3 267 1 5185 Cusqueña, MSc. estudios socio ambientales | Ecología política del agua y la conservación | sentir-pensar VERDADERO 08/09/2009 13:20 Lima, Peru 2277 1065 39544 1394 18977 FALSO FALSO",2 04479e 18 manquis jajajajjaa cállate impresentable 16 04 2026 9 45 0 0 3 267 1 5185 cusqueña msc estudios socio ambientales ecología política del agua y la conservación sentir pensar verdadero 08 09 2009 13 20 lima peru 2277 1065 39544 1394 18977 falso falso,negativo,-0.6383
10,,2026-06-17,"Además Porky sólo da la talla para blindador de pederastas, violadores y corruptos; para presidente no. 16/04/2026 9:52 3 2 38 189 6 3477 ""Que culpa tengo yo de tener la sangre roja, el corazón a la izquierda y que el karma siempre ponga la basura en su lugar.",además porky sólo da la talla para blindador de pederastas violadores y corruptos para presidente no 16 04 2026 9 52 3 2 38 189 6 3477 que culpa tengo yo de tener la sangre roja el corazón a la izquierda y que el karma siempre ponga la basura en su lugar,negativo,-1.0962
14,,2026-06-17,"2,04479E+18 Keiko No Va Ya lo salaste. Es lo que faltaba. Gracias. 16/04/2026 9:38 0 0 6 230 1 2560 Plataforma contra Keiko Fujimori, por ser un pasado nefasto, un presente de continuismo y un futuro lleno de corrupción. VERDADERO 07/03/2016 15:15 Peru 25572 1332 99775 6035 50041 FALSO VERDADERO",2 04479e 18 keiko no va ya lo salaste es lo que faltaba gracias 16 04 2026 9 38 0 0 6 230 1 2560 plataforma contra keiko fujimori por ser un pasado nefasto un presente de continuismo y un futuro lleno de corrupción verdadero 07 03 2016 15 15 peru 25572 1332 99775 6035 50041 falso verdadero,negativo,-1.0345
15,,2026-06-17,"2,04487E+18 LucyWeird ? ??? Calla ctm 16/04/2026 15:01 0 0 0 4 0 165 (ES/EN) Gaming & Esports content creator ???????? ? League & Esports Partner in Latam #PSL ? contactolucyweird.com VERDADERO 04/06/2009 16:19 Lima, Peru 31543 608 104818 2825 41974 FALSO FALSO",2 04487e 18 lucyweird calla ctm 16 04 2026 15 01 0 0 0 4 0 165 es en gaming esports content creator league esports partner in latam psl contactolucyweird com verdadero 04 06 2009 16 19 lima peru 31543 608 104818 2825 41974 falso falso,negativo,-1.087
17,,2026-06-17,"Terruco de mierda quieres guerra civil?"" 16/04/2026 10:07 0 0 0 3 0 449 ?? ??? ???? Free Palestine ??? ?? FALSO 11/04/2022 1:57 Mexico City 199790 14971 125552 36408 74390 FALSO VERDADERO",terruco de mierda quieres guerra civil 16 04 2026 10 07 0 0 0 3 0 449 free palestine falso 11 04 2022 1 57 mexico city 199790 14971 125552 36408 74390 falso verdadero,negativo,-1.4706
20,,2026-06-17,"2,04479E+18 Hija-DeSastre La representación a nivel país de RLA. Mira Pajerito, mejor calladito eh. 16/04/2026 9:56 6 0 10 152 1 5019 Corredora, montañista, atea pero respeto la libertad religiosa, luriganchina, 1/2 rimense, con gatijos. FALSO 10/05/2014 16:38 Lima, Peru 298 55 137862 2146 44952 FALSO FALSO",2 04479e 18 hija desastre la representación a nivel país de rla mira pajerito mejor calladito eh 16 04 2026 9 56 6 0 10 152 1 5019 corredora montañista atea pero respeto la libertad religiosa luriganchina 1 2 rimense con gatijos falso 10 05 2014 16 38 lima peru 298 55 137862 2146 44952 falso falso,negativo,-0.5263
25,,2026-06-17,"2,04484E+18 Raúl Noblecilla Olaechea Te falta poco para ir preso Jeri ? 16/04/2026 13:21 10 1 10 99 0 972 ??????? abogado del pueblo y de la democracia. VERDADERO 01/08/2019 22:55 Lima, Peru 30008 563 23217 2253 14527 FALSO VERDADERO",2 04484e 18 raúl noblecilla olaechea te falta poco para ir preso jeri 16 04 2026 13 21 10 1 10 99 0 972 abogado del pueblo y de la democracia verdadero 01 08 2019 22 55 lima peru 30008 563 23217 2253 14527 falso verdadero,negativo,-0.4348
